,7_fold,fold_public,fold_private,server
0,0.53730035883692,0.5375905503263081,0.5389527239210117,0
1,0.00310520690028196,0.004309942481900044,0.0028105181216510114,0
2,0.5338627994342009,0.5276427062374229,0.5330467161252461,0
3,0.5415532151266933,0.5446914168935092,0.5445071855289954,0
0,0.5401558225468546,0.5388392609797328,0.5385714347588552,1
1,0.0057133880464841115,0.004317331177690918,0.00287142949038054,1
2,0.534373589860415,0.5320381557925028,0.5342363867210453,1
3,0.5531481157646165,0.5485655817940603,0.5475029750059134,1
0,0.5390641283733455,0.5379068508218771,0.5385956726319717,2
1,0.002282313859207438,0.004461341602867975,0.0029238118690075,2
2,0.536780824806611,0.5304762023040357,0.533846194867476,2
3,0.5434311732952599,0.5463118769466168,0.544862705093563,2
0,0.5404759729655173,0.539112762147738,0.5390940630660633,3
1,0.005524109062561115,0.003911356548717806,0.002605498154528163,3
2,0.5333303631776013,0.5326023539252153,0.5326865135390183,3
3,0.5499795323006809,0.547584804313346,0.5428932207894255,3
0,0.536136043159652,0.5381155935266336,0.5381242159131429,4
1,0.003508091150132893,0.003980786626689175,0.0037304796432146986,4
2,0.5318740452936851,0.5298286261603768,0.5318119937207108,4
3,0.5425759454526007,0.5489064733841279,0.5468197900216265,4
0,0.5379583520513651,0.5366587852863621,0.5381717165807182,5
1,0.004334063892384284,0.004600858198577928,0.002856892689158715,5
2,0.5320181825718843,0.5274361688728844,0.5332940748073115,5
3,0.5452135569187463,0.5454011387374429,0.5425301874152803,5
0,0.5379177223556623,0.537738770154289,0.5388872434315531,6
1,0.004741471464836042,0.0048773729950533804,0.0029946659846771233,6
2,0.5314101704981061,0.5298886024531952,0.5329354319971037,6
3,0.5470654839891286,0.546911318126445,0.5435954512620867,6
0,0.5384815806538553,0.5384541344156566,0.5381764719482388,7
1,0.003552436330823407,0.004143423897042031,0.0027213568546720327,7
2,0.5341469794070494,0.5282179728195493,0.5337479530590165,7
3,0.5435227591122966,0.5499310785643396,0.5448239307199992,7
0,0.5375281797332807,0.538944655878264,0.5382321512574286,8
1,0.0076016373415798534,0.003881949520938512,0.0026210782702656902,8
2,0.5264809411687776,0.527892454108046,0.5308905384250517,8
3,0.5469156341459602,0.5472227689347097,0.5436089805944874,8
0,0.5376751699190336,0.5382548971206013,0.5378333027377789,9
1,0.004715740983953901,0.003632235188102282,0.002810084073303286,9
2,0.5310590011070483,0.5323016008551986,0.5321239773586182,9
3,0.5468116467071231,0.5465300708658927,0.5419118463731454,9
0,0.5384040949804076,0.5396696223326783,0.5383533250223133,10
1,0.005085716949994741,0.003928900582054835,0.002431596550967399,10
2,0.5302553135801689,0.533098347085007,0.5324144423886299,10
3,0.5478946363826049,0.5506432423487173,0.5429350073173816,10
0,0.5385520747426044,0.5370560843660975,0.5374901626525357,11
1,0.004736795726732215,0.004244082757910375,0.003315676530440175,11
2,0.5310263098601717,0.5304138966959324,0.5295013529908376,11
3,0.5481281621104572,0.5509557801537837,0.5441644565286768,11
0,0.5355362446175023,0.5392792812535476,0.5389132648257436,12
1,0.003929828373780559,0.0038416645030923766,0.002849198249476182,12
2,0.5298113368264865,0.5307110495263977,0.5331054135705023,12
3,0.5414245476644486,0.547798566056288,0.5440680710656862,12
0,0.5374158868886988,0.5392809425698583,0.5389889558484893,13
1,0.0018686254384655565,0.004280385801157012,0.002361656455832136,13
2,0.5346276225234499,0.5285001220247442,0.5342635409693576,13
3,0.5396623469224665,0.5466261016816543,0.544129307758742,13
0,0.5385437456649245,0.5385756561519564,0.540176257422975,14
1,0.004407400887811553,0.0041760062705275495,0.0028977564560452294,14
2,0.5335906802496756,0.529734852847646,0.5341901963280647,14
3,0.545850653478154,0.5467577863440907,0.5456465841925547,14
0,0.5410500596993777,0.5368845953252193,0.5377064854043706,15
1,0.0041398538784614795,0.0042551586770352805,0.002502874171955006,15
2,0.5349597387199406,0.5305882269884682,0.533761321606454,15
3,0.5462430735720031,0.5467467134537264,0.5424083787794604,15
0,0.5398334015313865,0.5384553955275246,0.5383029252138118,16
1,0.0031154614666147862,0.0044538158818030055,0.0028922377737343715,16
2,0.5365960534044658,0.530704683433309,0.5334812355167668,16
3,0.54455882362267,0.546658058954935,0.5450485965169352,16
0,0.5394199677800993,0.5380212493705265,0.5373404327267941,17
1,0.005661121883893307,0.00495246983862132,0.003248966131194103,17
2,0.5304651336384005,0.5249384420682632,0.5320947756382105,17
3,0.5503150899560191,0.5474180846989509,0.5437615662702735,17
0,0.5380607158861281,0.5385010765251853,0.5392225566946464,18
1,0.004203856215874891,0.004695063216224984,0.0032778575956297503,18
2,0.5296035406396898,0.5268874173447312,0.5324670598925972,18
3,0.542008234139625,0.5488675015247648,0.5476840343932837,18
0,0.5388585564815356,0.5385162589464103,0.5379748234529523,19
1,0.005372637702128494,0.004528172644969609,0.002377109092368105,19
2,0.5307563429156318,0.5310427684025573,0.5319623622532792,19
3,0.5451836864698678,0.5503952109349803,0.5423849542358468,19
