,7_fold,14_fold,50_fold,30_fold,server
3,0.5438535356698184,0.5508832519284784,0.5482679963513777,0.5446094720808268,7
0,0.5378448388195892,0.5419508330588887,0.5394821928150932,0.538851513917605,8
1,0.0038678933670924652,0.005030244302400075,0.003026115530345259,0.0026117934742590164,8
2,0.5315435926056534,0.5324746451226197,0.533767376719142,0.5331641312512683,8
3,0.5431568937579352,0.5483779330610694,0.545862748228501,0.5453798023972842,8
0,0.5375734404640863,0.5369766943913528,0.5396835855235691,0.5391191575563916,9
1,0.004624357635589887,0.005368577807722821,0.0028499286573347347,0.002714039765138076,9
2,0.5296700761754818,0.5274745949872991,0.5336661073258474,0.5331976367318442,9
3,0.542620610992063,0.5456818484407935,0.5446112001465371,0.5450529211801295,9
0,0.5385209517418029,0.5343066642895847,0.538522483767627,0.5388289290776307,10
1,0.0037021895383442735,0.008586244075352948,0.002781342742159884,0.0027305046589823734,10
2,0.5329526072985619,0.5138532734100832,0.5333269746835178,0.5337005969706837,10
3,0.5435947087553124,0.5459964046347191,0.544521737600518,0.544401285316029,10
0,0.5385515822240587,0.5372993115606528,0.5392564707170485,0.5392461120126052,11
1,0.001693055186007358,0.005276287337189039,0.0035101038578350292,0.0026993338522060878,11
2,0.5356942738293233,0.5265140539448162,0.5312284592863116,0.5329695013876378,11
3,0.540750046028071,0.5475032788577167,0.5461937725716871,0.544931631407852,11
0,0.5407703318754573,0.5386073280916678,0.5388573037077383,0.5395231357355516,12
1,0.003982427493161495,0.006338651235364217,0.0030600473857686516,0.0026808636351559525,12
2,0.5343310154855696,0.5280221983195192,0.5307786944599617,0.533936536055159,12
3,0.5457560052674743,0.5498576518950432,0.5470354205732492,0.5437188890157666,12
0,0.5385789485414783,0.5375106722862608,0.539034224449514,0.5388199565822603,13
1,0.004026380493778854,0.004257953902495303,0.003867536659361617,0.0029590359301641463,13
2,0.5326943052046116,0.530615870703777,0.5291536828971627,0.5327607305850989,13
3,0.5469266234562019,0.5456803503048162,0.5473990337627047,0.544874982114976,13
0,0.5391984215785754,0.536431863033585,0.5382082096356345,0.5381771679914902,14
1,0.0032438521365179026,0.005957851711258616,0.002830764005687806,0.002444265991209327,14
2,0.5332380461181119,0.5237306090151083,0.5326490045107931,0.5340513999410464,14
3,0.5430508013099659,0.544911813100438,0.5436394979624638,0.5419556059150449,14
0,0.5379869483500165,0.5389369728411849,0.5394456105774706,0.5391978979012736,15
1,0.0034948833939257395,0.0066110669704922305,0.002713601192680291,0.00325988100906511,15
2,0.5317155013761586,0.5299910130537258,0.5317971620100888,0.5332657058384607,15
3,0.5436169915873733,0.555430078059465,0.5463500312003974,0.5472147151772982,15
0,0.5410420854847652,0.5389986051249575,0.5384020016864786,0.5394810076150526,16
1,0.004332156146275387,0.007096783433702925,0.0032131382030121457,0.0026689092102108567,16
2,0.5338991090218042,0.5285568822181183,0.5329483608308705,0.5336435071785803,16
3,0.5480792518072127,0.553386965481065,0.5452699878777633,0.5459821578079584,16
0,0.5385669562720449,0.5387177386676797,0.5393894128279123,0.5391225346460212,17
1,0.006174836739397815,0.011156232458805489,0.004208645944305869,0.0024205221262252165,17
2,0.5266016983697287,0.5123343597704892,0.5319732522586177,0.5314199838438229,17
3,0.5479270508036129,0.5584980030933954,0.5513417495707247,0.5433975951014974,17
