,7_fold,fold_public,fold_private,server
0,0.5388909796519978,0.540445920833109,0.5380018253106977,0
1,0.007047898171569171,0.0046785630702708275,0.002849747096731563,0
2,0.5299887594084678,0.5319508476416119,0.5322237697406463,0
3,0.5508543550986023,0.5506399626529757,0.5428668531100405,0
0,0.5381525718348497,0.539780033206059,0.5382646158117669,1
1,0.0034829721739503892,0.0032528551078433205,0.002637795985927942,1
2,0.5326049977014158,0.5318202251732248,0.5323935023129401,1
3,0.5434479019668985,0.5475997765643565,0.5424398310732691,1
0,0.5388306431838973,0.5377428156664695,0.5384118232688473,2
1,0.0033679746428565273,0.0031654673860196914,0.0024627120540620514,2
2,0.5319445008625103,0.531516239714467,0.5325836773541021,2
3,0.5433635375084005,0.5466820098954779,0.5429929687518636,2
0,0.5377172793299293,0.5384337487684034,0.5386234237520094,3
1,0.0024534794891518034,0.00391236302952928,0.002666876497662012,3
2,0.5337632487410013,0.5307416188519617,0.532911269168164,3
3,0.54141645920337,0.5462832504921129,0.5433626846868242,3
0,0.5365087007690693,0.5394231996040475,0.5387347414009243,4
1,0.002311161792355798,0.004096447183370473,0.0018335926806769514,4
2,0.5317731498953149,0.5308290324908692,0.5352711650984969,4
3,0.5396743910764874,0.5470107480365225,0.5419378256357391,4
0,0.5367826705782457,0.5397381514253555,0.5384513033922219,5
1,0.005825678167941419,0.004174418479125619,0.0029231583131158804,5
2,0.5309537626659916,0.5261247113141764,0.5315042337738293,5
3,0.5488987745712188,0.5460033369906736,0.5463095821827191,5
0,0.5378371395858496,0.5386341036585659,0.5384415108973281,6
1,0.0037547466808264566,0.003294414039688301,0.0030481030868373168,6
2,0.5318915143609423,0.5311432644420401,0.533347081734797,6
3,0.5427629716782301,0.5465135997676016,0.5437706283624627,6
0,0.5371002775956532,0.539470015102634,0.5382440812848076,7
1,0.004089016644358038,0.005275124879198882,0.0025702211653134193,7
2,0.533130062074187,0.5301056045661352,0.5337050857200268,7
3,0.5446183045693133,0.5503973464586773,0.5432207282577275,7
0,0.5362215511598741,0.5383880542155974,0.5390931613091786,8
1,0.006474753250779624,0.003958985899005205,0.0033997817118070913,8
2,0.5229316263933552,0.5308859563857085,0.5331249678712852,8
3,0.5421919186620082,0.5446229397922062,0.5463357447065176,8
0,0.5402190082289149,0.5393097492521117,0.5377996353688999,9
1,0.005442012883895411,0.004415465019916804,0.002711564765875921,9
2,0.5356078432663645,0.5315309392505877,0.5323899560270527,9
3,0.552849450915567,0.5490146930607547,0.5437622146519925,9
0,0.5374970804326366,0.5388542386504246,0.5384312644145991,10
1,0.004740099982237728,0.004567853236509723,0.002397117487000062,10
2,0.531681211894251,0.5269846246454851,0.5330019719573641,10
3,0.5441704309646276,0.5489287901043937,0.5437104106183852,10
