log_loss,auc,mstd,rounds,params
0.5384162857142857,0.803704,0.03066947093111882,362,"{'colsample_bytree': 0.8, 'eta': 0.0158, 'gamma': 0.076, 'max_depth': 5, 'min_child_weight': 48.2, 'reg_lambda': 0.75, 'subsample': 0.79}"
0.5384217142857144,0.8037008571428571,0.030228370507312384,1155,"{'colsample_bytree': 0.79, 'eta': 0.0053, 'gamma': 0.046, 'max_depth': 5, 'min_child_weight': 30.0, 'reg_lambda': 0.74, 'subsample': 0.6900000000000001}"
0.5384322857142857,0.8036604285714286,0.030018943875973272,2097,"{'colsample_bytree': 0.74, 'eta': 0.003, 'gamma': 0.032, 'max_depth': 5, 'min_child_weight': 24.5, 'reg_lambda': 0.7000000000000001, 'subsample': 0.68}"
0.5384361428571429,0.8036518571428571,0.0303961882795777,1838,"{'colsample_bytree': 0.78, 'eta': 0.0033, 'gamma': 0.02, 'max_depth': 5, 'min_child_weight': 22.900000000000002, 'reg_lambda': 0.74, 'subsample': 0.73}"
0.5384441428571428,0.8036307142857142,0.03070392433757884,1091,"{'colsample_bytree': 0.73, 'eta': 0.0054, 'gamma': 0.046, 'max_depth': 5, 'min_child_weight': 30.3, 'reg_lambda': 0.74, 'subsample': 0.67}"
0.5384538571428571,0.803624,0.030915693861957257,2227,"{'colsample_bytree': 0.85, 'eta': 0.0026000000000000003, 'gamma': 0.008, 'max_depth': 5, 'min_child_weight': 34.800000000000004, 'reg_lambda': 0.71, 'subsample': 0.59}"
0.5384555714285714,0.8036465714285715,0.03043842257867662,1038,"{'colsample_bytree': 0.73, 'eta': 0.0058000000000000005, 'gamma': 0.047, 'max_depth': 5, 'min_child_weight': 21.8, 'reg_lambda': 0.78, 'subsample': 0.73}"
0.5384588571428572,0.8036368571428572,0.03050821259635226,2228,"{'colsample_bytree': 0.8, 'eta': 0.0027, 'gamma': 0.006, 'max_depth': 5, 'min_child_weight': 34.2, 'reg_lambda': 0.71, 'subsample': 0.59}"
0.5384591428571428,0.8036247142857144,0.031125873022080773,1622,"{'colsample_bytree': 0.79, 'eta': 0.0035, 'gamma': 0.067, 'max_depth': 5, 'min_child_weight': 28.200000000000003, 'reg_lambda': 0.73, 'subsample': 0.68}"
0.5384602857142857,0.8035948571428573,0.03106791705662633,1838,"{'colsample_bytree': 0.92, 'eta': 0.0031000000000000003, 'gamma': 0.061, 'max_depth': 5, 'min_child_weight': 21.200000000000003, 'reg_lambda': 0.74, 'subsample': 0.6900000000000001}"
0.5384615714285713,0.8036667142857141,0.030100748862156745,1329,"{'colsample_bytree': 0.67, 'eta': 0.0047, 'gamma': 0.065, 'max_depth': 5, 'min_child_weight': 27.6, 'reg_lambda': 0.8, 'subsample': 0.68}"
0.5384615714285715,0.8036517142857144,0.031018994376032664,648,"{'colsample_bytree': 0.81, 'eta': 0.008700000000000001, 'gamma': 0.091, 'max_depth': 5, 'min_child_weight': 30.3, 'reg_lambda': 0.75, 'subsample': 0.67}"
0.5384634285714285,0.803622,0.031095876829261317,2715,"{'colsample_bytree': 0.9, 'eta': 0.0021000000000000003, 'gamma': 0.038, 'max_depth': 5, 'min_child_weight': 29.5, 'reg_lambda': 0.89, 'subsample': 0.65}"
0.5384642857142856,0.8036238571428572,0.030180529253182327,2473,"{'colsample_bytree': 0.86, 'eta': 0.0025, 'gamma': 0.003, 'max_depth': 5, 'min_child_weight': 25.6, 'reg_lambda': 0.76, 'subsample': 0.76}"
0.5384702857142857,0.8036222857142856,0.030938221989064017,1994,"{'colsample_bytree': 0.8200000000000001, 'eta': 0.0029000000000000002, 'gamma': 0.016, 'max_depth': 5, 'min_child_weight': 36.2, 'reg_lambda': 0.72, 'subsample': 0.51}"
0.5384721428571427,0.8036181428571428,0.03040216624981478,2532,"{'colsample_bytree': 0.8, 'eta': 0.0024000000000000002, 'gamma': 0.007, 'max_depth': 5, 'min_child_weight': 34.6, 'reg_lambda': 0.71, 'subsample': 0.59}"
0.5384727142857143,0.8036214285714286,0.03118112859000831,1660,"{'colsample_bytree': 0.8300000000000001, 'eta': 0.0034000000000000002, 'gamma': 0.027, 'max_depth': 5, 'min_child_weight': 14.4, 'reg_lambda': 0.73, 'subsample': 0.72}"
0.5384735714285714,0.8036175714285714,0.030509547119060666,1199,"{'colsample_bytree': 0.71, 'eta': 0.005, 'gamma': 0.039, 'max_depth': 5, 'min_child_weight': 15.9, 'reg_lambda': 0.73, 'subsample': 0.71}"
0.538474,0.8036594285714285,0.030373025588602092,1152,"{'colsample_bytree': 0.65, 'eta': 0.0053, 'gamma': 0.042, 'max_depth': 5, 'min_child_weight': 28.900000000000002, 'reg_lambda': 0.75, 'subsample': 0.6900000000000001}"
0.5384784285714286,0.8036367142857143,0.03101153790426216,1221,"{'colsample_bytree': 0.71, 'eta': 0.0047, 'gamma': 0.077, 'max_depth': 5, 'min_child_weight': 17.5, 'reg_lambda': 0.73, 'subsample': 0.71}"
