log_loss,auc,mstd,rounds,params
0.5379677142857143,0.8040702857142857,0.029968061342425793,1559,"{'colsample_bytree': 0.65, 'eta': 0.0041, 'gamma': 0.115, 'max_depth': 5, 'min_child_weight': 57.0, 'reg_lambda': 0.9400000000000001, 'subsample': 0.81}"
0.5379914285714286,0.8040607142857141,0.03004169468918609,1372,"{'colsample_bytree': 0.72, 'eta': 0.0046, 'gamma': 0.123, 'max_depth': 5, 'min_child_weight': 54.0, 'reg_lambda': 0.81, 'subsample': 0.77}"
0.5380085714285714,0.8040268571428572,0.03110381344252509,1990,"{'colsample_bytree': 0.6900000000000001, 'eta': 0.0029000000000000002, 'gamma': 0.129, 'max_depth': 5, 'min_child_weight': 63.0, 'reg_lambda': 0.75, 'subsample': 0.62}"
0.5380090000000001,0.8040652857142857,0.030577234640223272,1676,"{'colsample_bytree': 0.6900000000000001, 'eta': 0.0036000000000000003, 'gamma': 0.145, 'max_depth': 5, 'min_child_weight': 11.0, 'reg_lambda': 0.8300000000000001, 'subsample': 0.71}"
0.5380115714285714,0.804056,0.0309035973625724,2351,"{'colsample_bytree': 0.6900000000000001, 'eta': 0.0025, 'gamma': 0.196, 'max_depth': 5, 'min_child_weight': 35.0, 'reg_lambda': 0.85, 'subsample': 0.7000000000000001}"
0.5380252857142857,0.8040522857142857,0.031559373854638764,1314,"{'colsample_bytree': 0.7000000000000001, 'eta': 0.004200000000000001, 'gamma': 0.092, 'max_depth': 5, 'min_child_weight': 94.0, 'reg_lambda': 0.61, 'subsample': 0.8300000000000001}"
0.5380307142857143,0.8040454285714286,0.031769535442511765,1751,"{'colsample_bytree': 0.74, 'eta': 0.0031000000000000003, 'gamma': 0.17200000000000001, 'max_depth': 5, 'min_child_weight': 88.0, 'reg_lambda': 0.8300000000000001, 'subsample': 0.65}"
0.5380321428571428,0.8040262857142856,0.030932690720508253,2429,"{'colsample_bytree': 0.91, 'eta': 0.0024000000000000002, 'gamma': 0.149, 'max_depth': 5, 'min_child_weight': 60.0, 'reg_lambda': 0.79, 'subsample': 0.77}"
0.5380325714285714,0.8040557142857143,0.0315550118554927,1677,"{'colsample_bytree': 0.72, 'eta': 0.0033, 'gamma': 0.093, 'max_depth': 5, 'min_child_weight': 61.0, 'reg_lambda': 0.67, 'subsample': 0.6900000000000001}"
0.5380347142857143,0.8040197142857144,0.03147239434419753,2661,"{'colsample_bytree': 0.73, 'eta': 0.0021000000000000003, 'gamma': 0.043000000000000003, 'max_depth': 5, 'min_child_weight': 71.0, 'reg_lambda': 0.92, 'subsample': 0.66}"
0.5380358571428571,0.8040452857142857,0.03042680760223966,962,"{'colsample_bytree': 0.75, 'eta': 0.0063, 'gamma': 0.125, 'max_depth': 5, 'min_child_weight': 70.0, 'reg_lambda': 0.81, 'subsample': 0.76}"
0.5380457142857143,0.8040145714285715,0.03077357571094056,2689,"{'colsample_bytree': 0.88, 'eta': 0.0022, 'gamma': 0.132, 'max_depth': 5, 'min_child_weight': 45.0, 'reg_lambda': 0.75, 'subsample': 0.77}"
0.5380475714285714,0.8040172857142858,0.031359081947353824,3333,"{'colsample_bytree': 0.67, 'eta': 0.0017000000000000001, 'gamma': 0.031, 'max_depth': 5, 'min_child_weight': 25.0, 'reg_lambda': 0.86, 'subsample': 0.75}"
0.5380495714285713,0.8040227142857143,0.030832058367435057,1435,"{'colsample_bytree': 0.72, 'eta': 0.0041, 'gamma': 0.17400000000000002, 'max_depth': 5, 'min_child_weight': 83.0, 'reg_lambda': 0.84, 'subsample': 0.9}"
0.538055,0.8040160000000001,0.03065379644637018,1430,"{'colsample_bytree': 0.65, 'eta': 0.004200000000000001, 'gamma': 0.114, 'max_depth': 5, 'min_child_weight': 50.0, 'reg_lambda': 0.87, 'subsample': 0.65}"
0.5380572857142857,0.8040191428571429,0.030842921535664564,1214,"{'colsample_bytree': 0.9500000000000001, 'eta': 0.0048000000000000004, 'gamma': 0.132, 'max_depth': 5, 'min_child_weight': 74.0, 'reg_lambda': 0.61, 'subsample': 0.85}"
0.5380774285714286,0.8039651428571429,0.030369808999805122,824,"{'colsample_bytree': 0.63, 'eta': 0.0074, 'gamma': 0.108, 'max_depth': 5, 'min_child_weight': 47.0, 'reg_lambda': 0.71, 'subsample': 0.75}"
0.5380784285714286,0.8039664285714284,0.030699892910096997,1071,"{'colsample_bytree': 0.99, 'eta': 0.0055000000000000005, 'gamma': 0.115, 'max_depth': 5, 'min_child_weight': 54.0, 'reg_lambda': 0.93, 'subsample': 0.79}"
0.5380871428571429,0.8039577142857143,0.03123573994570741,794,"{'colsample_bytree': 0.66, 'eta': 0.0071, 'gamma': 0.0, 'max_depth': 5, 'min_child_weight': 42.0, 'reg_lambda': 0.9500000000000001, 'subsample': 0.73}"
0.5381054285714286,0.8039759999999999,0.03327723066966312,3140,"{'colsample_bytree': 0.78, 'eta': 0.0015, 'gamma': 0.041, 'max_depth': 6, 'min_child_weight': 100.0, 'reg_lambda': 0.6, 'subsample': 0.54}"
0.5381061428571429,0.8039868571428571,0.030642808561463845,2220,"{'colsample_bytree': 0.75, 'eta': 0.0027, 'gamma': 0.115, 'max_depth': 5, 'min_child_weight': 2.0, 'reg_lambda': 0.9400000000000001, 'subsample': 0.87}"
0.5381122857142857,0.8039747142857142,0.0312778246678244,713,"{'colsample_bytree': 0.62, 'eta': 0.0079, 'gamma': 0.016, 'max_depth': 5, 'min_child_weight': 24.0, 'reg_lambda': 0.72, 'subsample': 0.56}"
0.538116,0.8039379999999999,0.03078650898308966,850,"{'colsample_bytree': 0.67, 'eta': 0.006900000000000001, 'gamma': 0.082, 'max_depth': 5, 'min_child_weight': 35.0, 'reg_lambda': 0.66, 'subsample': 0.8200000000000001}"
0.5381234285714286,0.8039438571428573,0.030923376803005956,1568,"{'colsample_bytree': 0.93, 'eta': 0.0037, 'gamma': 0.021, 'max_depth': 5, 'min_child_weight': 26.0, 'reg_lambda': 0.88, 'subsample': 0.5}"
0.5381292857142858,0.8039537142857143,0.03203763073739698,886,"{'colsample_bytree': 0.9, 'eta': 0.0059, 'gamma': 0.22, 'max_depth': 5, 'min_child_weight': 95.0, 'reg_lambda': 0.8, 'subsample': 0.53}"
0.5381345714285715,0.8039622857142857,0.032546905148302045,1321,"{'colsample_bytree': 0.65, 'eta': 0.0038, 'gamma': 0.08700000000000001, 'max_depth': 6, 'min_child_weight': 68.0, 'reg_lambda': 0.9500000000000001, 'subsample': 0.68}"
0.5381389999999999,0.803959,0.03116725368180633,926,"{'colsample_bytree': 0.81, 'eta': 0.0061, 'gamma': 0.227, 'max_depth': 5, 'min_child_weight': 30.0, 'reg_lambda': 0.64, 'subsample': 0.8200000000000001}"
