log_loss,mstd,rounds,params
0.5382157142857144,0.03109373610380381,859,"{'colsample_bytree': 0.9480000000000001, 'eta': 0.0066, 'gamma': 0.009000000000000001, 'max_depth': 5, 'min_child_weight': 30.8, 'reg_lambda': 0.724, 'subsample': 0.529}"
0.5382242857142857,0.030684077997727877,591,"{'colsample_bytree': 0.836, 'eta': 0.0099, 'gamma': 0.02, 'max_depth': 5, 'min_child_weight': 29.3, 'reg_lambda': 0.704, 'subsample': 0.503}"
0.5382244285714286,0.030092262782626125,1196,"{'colsample_bytree': 0.936, 'eta': 0.005200000000000001, 'gamma': 0.007, 'max_depth': 5, 'min_child_weight': 26.8, 'reg_lambda': 0.804, 'subsample': 0.611}"
0.5382244285714286,0.03030437041932627,1195,"{'colsample_bytree': 0.962, 'eta': 0.0051, 'gamma': 0.022, 'max_depth': 5, 'min_child_weight': 31.1, 'reg_lambda': 0.775, 'subsample': 0.534}"
0.5382308571428572,0.02936507818881115,489,"{'colsample_bytree': 0.859, 'eta': 0.013300000000000001, 'gamma': 0.01, 'max_depth': 5, 'min_child_weight': 30.400000000000002, 'reg_lambda': 0.715, 'subsample': 0.463}"
0.5382387142857142,0.03101500252764178,2220,"{'colsample_bytree': 0.909, 'eta': 0.0026000000000000003, 'gamma': 0.065, 'max_depth': 5, 'min_child_weight': 25.700000000000003, 'reg_lambda': 0.867, 'subsample': 0.649}"
0.5382395714285714,0.03109324292763215,859,"{'colsample_bytree': 0.9410000000000001, 'eta': 0.0066, 'gamma': 0.044, 'max_depth': 5, 'min_child_weight': 29.900000000000002, 'reg_lambda': 0.802, 'subsample': 0.547}"
0.538243,0.0312671103914518,1707,"{'colsample_bytree': 0.906, 'eta': 0.0033, 'gamma': 0.063, 'max_depth': 5, 'min_child_weight': 25.1, 'reg_lambda': 0.71, 'subsample': 0.622}"
0.5382444285714285,0.030262379186586905,2285,"{'colsample_bytree': 0.931, 'eta': 0.0027, 'gamma': 0.14, 'max_depth': 5, 'min_child_weight': 24.400000000000002, 'reg_lambda': 0.8260000000000001, 'subsample': 0.592}"
0.5382445714285714,0.030036535609939612,958,"{'colsample_bytree': 0.905, 'eta': 0.006500000000000001, 'gamma': 0.053, 'max_depth': 5, 'min_child_weight': 30.8, 'reg_lambda': 0.726, 'subsample': 0.621}"
0.5382461428571428,0.03029477759927823,2278,"{'colsample_bytree': 0.928, 'eta': 0.0027, 'gamma': 0.149, 'max_depth': 5, 'min_child_weight': 24.5, 'reg_lambda': 0.854, 'subsample': 0.603}"
0.5382471428571428,0.030213684187946177,690,"{'colsample_bytree': 0.984, 'eta': 0.0088, 'gamma': 0.027, 'max_depth': 5, 'min_child_weight': 31.400000000000002, 'reg_lambda': 0.757, 'subsample': 0.537}"
0.5382505714285715,0.03053086778366849,1885,"{'colsample_bytree': 0.869, 'eta': 0.0032, 'gamma': 0.048, 'max_depth': 5, 'min_child_weight': 29.5, 'reg_lambda': 0.89, 'subsample': 0.6970000000000001}"
0.5382531428571429,0.030306666084912004,2797,"{'colsample_bytree': 0.917, 'eta': 0.0022, 'gamma': 0.07, 'max_depth': 5, 'min_child_weight': 24.400000000000002, 'reg_lambda': 0.842, 'subsample': 0.583}"
0.5382532857142858,0.03077398640541187,4552,"{'colsample_bytree': 0.928, 'eta': 0.0013000000000000002, 'gamma': 0.034, 'max_depth': 5, 'min_child_weight': 25.0, 'reg_lambda': 0.7000000000000001, 'subsample': 0.589}"
0.5382537142857143,0.030969286876497998,912,"{'colsample_bytree': 0.896, 'eta': 0.0063, 'gamma': 0.032, 'max_depth': 5, 'min_child_weight': 30.200000000000003, 'reg_lambda': 0.737, 'subsample': 0.603}"
0.5382557142857144,0.03109889190449102,571,"{'colsample_bytree': 0.989, 'eta': 0.0098, 'gamma': 0.058, 'max_depth': 5, 'min_child_weight': 29.6, 'reg_lambda': 0.856, 'subsample': 0.525}"
0.5382568571428571,0.03140626991644117,741,"{'colsample_bytree': 0.968, 'eta': 0.0074, 'gamma': 0.023, 'max_depth': 5, 'min_child_weight': 28.5, 'reg_lambda': 0.846, 'subsample': 0.432}"
0.538257,0.031098532895157,897,"{'colsample_bytree': 0.979, 'eta': 0.0063, 'gamma': 0.015, 'max_depth': 5, 'min_child_weight': 27.400000000000002, 'reg_lambda': 0.809, 'subsample': 0.5710000000000001}"
0.5382587142857143,0.030535110813811196,1427,"{'colsample_bytree': 0.9450000000000001, 'eta': 0.004200000000000001, 'gamma': 0.122, 'max_depth': 5, 'min_child_weight': 25.5, 'reg_lambda': 0.8270000000000001, 'subsample': 0.665}"
0.5382607142857142,0.03137478968233872,1006,"{'colsample_bytree': 0.999, 'eta': 0.0055000000000000005, 'gamma': 0.048, 'max_depth': 5, 'min_child_weight': 28.900000000000002, 'reg_lambda': 0.861, 'subsample': 0.48}"
0.5382615714285715,0.031478643559817276,535,"{'colsample_bytree': 0.978, 'eta': 0.010100000000000001, 'gamma': 0.052000000000000005, 'max_depth': 5, 'min_child_weight': 29.6, 'reg_lambda': 0.877, 'subsample': 0.68}"
0.5382617142857142,0.03151240269375395,1448,"{'colsample_bytree': 0.906, 'eta': 0.0038, 'gamma': 0.017, 'max_depth': 5, 'min_child_weight': 22.700000000000003, 'reg_lambda': 0.756, 'subsample': 0.49}"
0.5382617142857143,0.03080737054776834,872,"{'colsample_bytree': 0.8130000000000001, 'eta': 0.0067, 'gamma': 0.084, 'max_depth': 5, 'min_child_weight': 31.5, 'reg_lambda': 0.888, 'subsample': 0.681}"
0.5382624285714286,0.031076585420566724,549,"{'colsample_bytree': 0.98, 'eta': 0.0102, 'gamma': 0.027, 'max_depth': 5, 'min_child_weight': 27.3, 'reg_lambda': 0.812, 'subsample': 0.66}"
0.5382644285714285,0.031740841687826385,861,"{'colsample_bytree': 0.962, 'eta': 0.006200000000000001, 'gamma': 0.002, 'max_depth': 5, 'min_child_weight': 30.400000000000002, 'reg_lambda': 0.798, 'subsample': 0.525}"
0.5382652857142858,0.03053588349910643,657,"{'colsample_bytree': 0.9450000000000001, 'eta': 0.009000000000000001, 'gamma': 0.007, 'max_depth': 5, 'min_child_weight': 26.6, 'reg_lambda': 0.835, 'subsample': 0.619}"
0.538266857142857,0.03033167312096784,1035,"{'colsample_bytree': 0.848, 'eta': 0.0059, 'gamma': 0.058, 'max_depth': 5, 'min_child_weight': 28.700000000000003, 'reg_lambda': 0.85, 'subsample': 0.651}"
0.5382674285714285,0.030852542100983482,684,"{'colsample_bytree': 0.9570000000000001, 'eta': 0.008400000000000001, 'gamma': 0.048, 'max_depth': 5, 'min_child_weight': 26.900000000000002, 'reg_lambda': 0.782, 'subsample': 0.644}"
0.5382675714285714,0.030785076277888627,732,"{'colsample_bytree': 0.9560000000000001, 'eta': 0.0079, 'gamma': 0.031, 'max_depth': 5, 'min_child_weight': 28.3, 'reg_lambda': 0.879, 'subsample': 0.63}"
0.5382675714285715,0.031584354019016374,1517,"{'colsample_bytree': 0.992, 'eta': 0.0036000000000000003, 'gamma': 0.076, 'max_depth': 5, 'min_child_weight': 32.0, 'reg_lambda': 0.747, 'subsample': 0.401}"
0.5382715714285714,0.030557794170909064,1193,"{'colsample_bytree': 0.906, 'eta': 0.005, 'gamma': 0.134, 'max_depth': 5, 'min_child_weight': 23.8, 'reg_lambda': 0.8180000000000001, 'subsample': 0.596}"
0.538275142857143,0.03064055358288788,859,"{'colsample_bytree': 0.833, 'eta': 0.006900000000000001, 'gamma': 0.002, 'max_depth': 5, 'min_child_weight': 27.900000000000002, 'reg_lambda': 0.766, 'subsample': 0.504}"
0.5382794285714286,0.03099041926952316,3219,"{'colsample_bytree': 0.9440000000000001, 'eta': 0.0018000000000000002, 'gamma': 0.112, 'max_depth': 5, 'min_child_weight': 28.8, 'reg_lambda': 0.753, 'subsample': 0.485}"
0.5382797142857143,0.03104643156346991,600,"{'colsample_bytree': 0.9400000000000001, 'eta': 0.0094, 'gamma': 0.045, 'max_depth': 5, 'min_child_weight': 16.8, 'reg_lambda': 0.838, 'subsample': 0.612}"
0.5382817142857143,0.03113021535816519,1356,"{'colsample_bytree': 0.862, 'eta': 0.004200000000000001, 'gamma': 0.131, 'max_depth': 5, 'min_child_weight': 25.1, 'reg_lambda': 0.737, 'subsample': 0.597}"
0.538283,0.030416026064955737,1393,"{'colsample_bytree': 0.78, 'eta': 0.0044, 'gamma': 0.025, 'max_depth': 5, 'min_child_weight': 30.1, 'reg_lambda': 0.848, 'subsample': 0.671}"
0.5382831428571428,0.030714825915544006,874,"{'colsample_bytree': 0.922, 'eta': 0.0067, 'gamma': 0.106, 'max_depth': 5, 'min_child_weight': 27.0, 'reg_lambda': 0.834, 'subsample': 0.589}"
0.5382845714285714,0.03050446456624319,1029,"{'colsample_bytree': 0.963, 'eta': 0.0058000000000000005, 'gamma': 0.058, 'max_depth': 5, 'min_child_weight': 18.900000000000002, 'reg_lambda': 0.771, 'subsample': 0.541}"
0.5382864285714285,0.030844739313710758,1718,"{'colsample_bytree': 0.93, 'eta': 0.0034000000000000002, 'gamma': 0.081, 'max_depth': 5, 'min_child_weight': 20.8, 'reg_lambda': 0.8240000000000001, 'subsample': 0.5730000000000001}"
0.5382871428571429,0.031617409541436506,2739,"{'colsample_bytree': 0.9420000000000001, 'eta': 0.002, 'gamma': 0.093, 'max_depth': 5, 'min_child_weight': 31.1, 'reg_lambda': 0.79, 'subsample': 0.47000000000000003}"
0.5382922857142857,0.03096486540548482,809,"{'colsample_bytree': 0.855, 'eta': 0.0071, 'gamma': 0.10300000000000001, 'max_depth': 5, 'min_child_weight': 19.5, 'reg_lambda': 0.764, 'subsample': 0.656}"
0.5382922857142857,0.030727990601004222,296,"{'colsample_bytree': 0.989, 'eta': 0.019, 'gamma': 0.004, 'max_depth': 5, 'min_child_weight': 24.6, 'reg_lambda': 0.746, 'subsample': 0.608}"
0.538293,0.031067534753053735,705,"{'colsample_bytree': 0.996, 'eta': 0.008, 'gamma': 0.013000000000000001, 'max_depth': 5, 'min_child_weight': 31.0, 'reg_lambda': 0.809, 'subsample': 0.556}"
0.5382952857142858,0.030521121794247073,492,"{'colsample_bytree': 0.962, 'eta': 0.0119, 'gamma': 0.0, 'max_depth': 5, 'min_child_weight': 26.400000000000002, 'reg_lambda': 0.742, 'subsample': 0.54}"
0.5382957142857143,0.030349455978299564,836,"{'colsample_bytree': 0.992, 'eta': 0.007200000000000001, 'gamma': 0.084, 'max_depth': 5, 'min_child_weight': 24.900000000000002, 'reg_lambda': 0.76, 'subsample': 0.577}"
0.5382962857142857,0.030715669752537242,1600,"{'colsample_bytree': 0.902, 'eta': 0.0037, 'gamma': 0.008, 'max_depth': 5, 'min_child_weight': 31.6, 'reg_lambda': 0.778, 'subsample': 0.488}"
0.5383008571428572,0.029945794328515775,827,"{'colsample_bytree': 0.842, 'eta': 0.0076, 'gamma': 0.044, 'max_depth': 5, 'min_child_weight': 31.700000000000003, 'reg_lambda': 0.774, 'subsample': 0.5680000000000001}"
0.5383012857142857,0.03068562464195308,1126,"{'colsample_bytree': 0.788, 'eta': 0.0053, 'gamma': 0.055, 'max_depth': 5, 'min_child_weight': 27.700000000000003, 'reg_lambda': 0.9, 'subsample': 0.6990000000000001}"
0.538301857142857,0.029974836292406444,592,"{'colsample_bytree': 0.837, 'eta': 0.0105, 'gamma': 0.01, 'max_depth': 5, 'min_child_weight': 28.700000000000003, 'reg_lambda': 0.706, 'subsample': 0.531}"
0.5383024285714286,0.030979344308485073,2517,"{'colsample_bytree': 0.911, 'eta': 0.0023, 'gamma': 0.01, 'max_depth': 5, 'min_child_weight': 24.200000000000003, 'reg_lambda': 0.762, 'subsample': 0.431}"
0.5383065714285714,0.029439451742774427,591,"{'colsample_bytree': 0.799, 'eta': 0.0111, 'gamma': 0.023, 'max_depth': 5, 'min_child_weight': 27.5, 'reg_lambda': 0.75, 'subsample': 0.518}"
