log_loss,mstd,params
0.5393065714285714,0.03173347625932775,"{'reg_lambda': 0.7305174507880087, 'eta': 0.002547444808657504, 'max_depth': 6, 'colsample_bytree': 0.9665912048153655, 'gamma': 0.04831251657371445, 'min_child_weight': 14.610399676397224, 'subsample': 0.019989361111940142}"
0.5393087142857143,0.03254553345283459,"{'reg_lambda': 0.7168884663984747, 'eta': 0.0012102418865982205, 'max_depth': 6, 'colsample_bytree': 0.9390725573045772, 'gamma': 0.03701501949842974, 'min_child_weight': 13.78271391977953, 'subsample': 0.019379509298287096}"
0.5393095714285715,0.03251011813847122,"{'reg_lambda': 0.7085616026102484, 'eta': 0.002693138430557885, 'max_depth': 6, 'colsample_bytree': 0.9702185343132381, 'gamma': 0.00036922872163306156, 'min_child_weight': 12.999348169453162, 'subsample': 0.019143167006733325}"
0.5393165714285714,0.032539475478248855,"{'reg_lambda': 0.7562848304378419, 'eta': 0.0025081293952166584, 'max_depth': 6, 'colsample_bytree': 0.9781534416717511, 'gamma': 0.14321383753953415, 'min_child_weight': 16.507234128165145, 'subsample': 0.01958630719321813}"
0.5393172857142857,0.0317774063017797,"{'reg_lambda': 0.7669425229486029, 'eta': 0.002250482522884627, 'max_depth': 6, 'colsample_bytree': 0.975302906883694, 'gamma': 0.015118058814896224, 'min_child_weight': 11.206229712443276, 'subsample': 0.017477950854300428}"
0.5393185714285714,0.03232063515646102,"{'reg_lambda': 0.7205539466447144, 'eta': 0.003562778786019236, 'max_depth': 6, 'colsample_bytree': 0.9598080598230455, 'gamma': 0.02796792111657449, 'min_child_weight': 13.57595519807814, 'subsample': 0.019115073958402742}"
0.5393195714285715,0.032585470864548396,"{'reg_lambda': 0.7002859396108584, 'eta': 0.0026560804376065173, 'max_depth': 6, 'colsample_bytree': 0.9455389961041819, 'gamma': 0.16737553321698234, 'min_child_weight': 17.26180560177996, 'subsample': 0.019278736878607938}"
0.5393225714285714,0.03195342443582248,"{'reg_lambda': 0.7157073418804146, 'eta': 0.0035553159513402044, 'max_depth': 6, 'colsample_bytree': 0.957805131527319, 'gamma': 0.2258385913262428, 'min_child_weight': 17.115703259276927, 'subsample': 0.01963120989222928}"
0.5393238571428572,0.0323408874575053,"{'reg_lambda': 0.7318539999082632, 'eta': 0.0030071067561194525, 'max_depth': 6, 'colsample_bytree': 0.964499137826533, 'gamma': 0.07499934865666469, 'min_child_weight': 11.77674073134362, 'subsample': 0.019674021351085345}"
0.5393242857142857,0.0333864710097506,"{'reg_lambda': 0.7424373357935921, 'eta': 0.0016614439669576393, 'max_depth': 6, 'colsample_bytree': 0.9509149991082267, 'gamma': 0.013334529949568089, 'min_child_weight': 14.577909334553489, 'subsample': 0.019927258472877993}"
0.5393247142857144,0.03205233848930538,"{'reg_lambda': 0.7314908978026982, 'eta': 0.0011571427886052726, 'max_depth': 6, 'colsample_bytree': 0.9523594531147351, 'gamma': 0.06321148143960106, 'min_child_weight': 8.720553851009054, 'subsample': 0.01954264949494015}"
0.5393265714285713,0.031926166015774304,"{'reg_lambda': 0.7435238832117999, 'eta': 0.0027426035566946263, 'max_depth': 6, 'colsample_bytree': 0.9426555579662315, 'gamma': 0.018455516358678398, 'min_child_weight': 14.340730912325165, 'subsample': 0.019989209006552464}"
0.539328,0.03227136384874395,"{'reg_lambda': 0.725220053510959, 'eta': 0.0015493186293868626, 'max_depth': 6, 'colsample_bytree': 0.9460095981070878, 'gamma': 0.07488245009448773, 'min_child_weight': 14.744928007803608, 'subsample': 0.019212144140308557}"
0.53933,0.032136283512806285,"{'reg_lambda': 0.7383959326071108, 'eta': 0.004000651909157908, 'max_depth': 6, 'colsample_bytree': 0.9398333401422279, 'gamma': 0.04328186690880449, 'min_child_weight': 11.915277424712311, 'subsample': 0.019974388754109108}"
0.5393321428571429,0.032576963859621,"{'reg_lambda': 0.7591188379267715, 'eta': 0.00153013790375781, 'max_depth': 6, 'colsample_bytree': 0.9482489041117548, 'gamma': 0.16359162433211882, 'min_child_weight': 14.595085253020219, 'subsample': 0.019243335650165533}"
0.5393428571428571,0.033291558805405644,"{'reg_lambda': 0.889385605573557, 'eta': 0.0031636009621376577, 'max_depth': 6, 'colsample_bytree': 0.958117929690738, 'gamma': 0.061300096398254206, 'min_child_weight': 18.0990749269848, 'subsample': 0.01997740405915281}"
0.5393568571428571,0.03300366553956733,"{'reg_lambda': 0.7368920635535767, 'eta': 0.0024881454862038434, 'max_depth': 6, 'colsample_bytree': 0.9577463190315134, 'gamma': 0.04199419609519839, 'min_child_weight': 14.343300090551617, 'subsample': 0.019622254354087983}"
0.539358857142857,0.03138366990457231,"{'reg_lambda': 0.7543212119567888, 'eta': 0.003944582532122506, 'max_depth': 5, 'colsample_bytree': 0.9550831454447392, 'gamma': 0.17049398516495495, 'min_child_weight': 16.11614435010596, 'subsample': 0.019975359220879084}"
0.5393694285714286,0.03253720126843953,"{'reg_lambda': 0.7230657395702306, 'eta': 0.001293333763555907, 'max_depth': 6, 'colsample_bytree': 0.9546813516680797, 'gamma': 0.05815607163625207, 'min_child_weight': 8.28214556013478, 'subsample': 0.019917323829588073}"
0.5393822857142857,0.031562834840457694,"{'reg_lambda': 0.7087620514277343, 'eta': 0.001654492096264819, 'max_depth': 6, 'colsample_bytree': 0.9926447295244751, 'gamma': 0.10236377158974634, 'min_child_weight': 13.594504419448885, 'subsample': 0.018247198557091976}"
0.5393848571428571,0.032891653922710186,"{'reg_lambda': 0.8059914305095872, 'eta': 0.005521458164420353, 'max_depth': 6, 'colsample_bytree': 0.961512419811595, 'gamma': 0.04594171745180732, 'min_child_weight': 13.863468722538219, 'subsample': 0.019561495290601538}"
0.539388142857143,0.03226017180540587,"{'reg_lambda': 0.7437312123051132, 'eta': 0.003625756525943812, 'max_depth': 6, 'colsample_bytree': 0.9559685912471098, 'gamma': 0.15312962901830135, 'min_child_weight': 13.366516890312303, 'subsample': 0.01964017898001702}"
0.5393885714285714,0.033231902304106054,"{'reg_lambda': 0.7969638438353858, 'eta': 0.0012518453689159, 'max_depth': 6, 'colsample_bytree': 0.9414405097139281, 'gamma': 0.19670781509841215, 'min_child_weight': 9.682285030354013, 'subsample': 0.017955103255377983}"
0.5393925714285713,0.032289422205707775,"{'reg_lambda': 0.7361186426677123, 'eta': 0.003598819084594632, 'max_depth': 6, 'colsample_bytree': 0.97342938124959, 'gamma': 0.06239870401326458, 'min_child_weight': 9.906317410450082, 'subsample': 0.019968290060639812}"
0.5393942857142857,0.0338792209589334,"{'reg_lambda': 0.7342257378798408, 'eta': 0.0029612587143879898, 'max_depth': 6, 'colsample_bytree': 0.9695395069176126, 'gamma': 0.028410260073991837, 'min_child_weight': 11.210471803768595, 'subsample': 0.019989655232310707}"
0.5393965714285714,0.03263997197995227,"{'reg_lambda': 0.7659450795479879, 'eta': 0.0022405493432287606, 'max_depth': 6, 'colsample_bytree': 0.995979807562219, 'gamma': 0.0132133654074992, 'min_child_weight': 9.351801842757219, 'subsample': 0.017364263057063872}"
0.5394024285714286,0.033513037318166475,"{'reg_lambda': 0.7376204939155815, 'eta': 0.0052061910535070215, 'max_depth': 6, 'colsample_bytree': 0.9563262113423202, 'gamma': 0.05001827964035575, 'min_child_weight': 13.410078006087284, 'subsample': 0.019553398421762066}"
0.5394044285714286,0.03211870066644877,"{'reg_lambda': 0.732854416862616, 'eta': 0.0023506613855501547, 'max_depth': 6, 'colsample_bytree': 0.9533592526617855, 'gamma': 0.021742164075777816, 'min_child_weight': 12.208341583040294, 'subsample': 0.01793841224119584}"
0.5394074285714285,0.0328952395303916,"{'reg_lambda': 0.7276805603326084, 'eta': 0.0018518676353876668, 'max_depth': 6, 'colsample_bytree': 0.9559454651731594, 'gamma': 0.07954921879493349, 'min_child_weight': 10.72727139868379, 'subsample': 0.01939795085577194}"
0.5394077142857142,0.033015061925968876,"{'reg_lambda': 0.7407043309415349, 'eta': 0.002166690978020819, 'max_depth': 6, 'colsample_bytree': 0.9572625274594416, 'gamma': 0.048578837087008525, 'min_child_weight': 12.053378699808016, 'subsample': 0.019305137211821224}"
0.5394077142857142,0.032584171826333524,"{'reg_lambda': 0.7202616097710458, 'eta': 0.003706147408954555, 'max_depth': 7, 'colsample_bytree': 0.9593509346274856, 'gamma': 0.0867056709169298, 'min_child_weight': 14.945454060749356, 'subsample': 0.018776466680412534}"
0.5394087142857142,0.03244715714007984,"{'reg_lambda': 0.7421035391887156, 'eta': 0.0016463992391899528, 'max_depth': 6, 'colsample_bytree': 0.9798101848542694, 'gamma': 0.02698856916166973, 'min_child_weight': 9.330069229712937, 'subsample': 0.019615860168732856}"
0.5394091428571429,0.03408404442996301,"{'reg_lambda': 0.7490552194405757, 'eta': 0.0009250576321927497, 'max_depth': 6, 'colsample_bytree': 0.9495808816964164, 'gamma': 0.060791447060163484, 'min_child_weight': 9.857242711804737, 'subsample': 0.0199830455644528}"
0.5394128571428571,0.03407672094729573,"{'reg_lambda': 0.7299608050685968, 'eta': 0.0009334639887936846, 'max_depth': 6, 'colsample_bytree': 0.9533512324693556, 'gamma': 0.006900728743423158, 'min_child_weight': 14.987965928210645, 'subsample': 0.01735675599128819}"
0.5394131428571429,0.03175518720736964,"{'reg_lambda': 0.7052405373982779, 'eta': 0.001869242242202142, 'max_depth': 6, 'colsample_bytree': 0.960978952269635, 'gamma': 0.026810271828874438, 'min_child_weight': 9.465737386594459, 'subsample': 0.01856474869103325}"
0.5394188571428572,0.033196371847590604,"{'reg_lambda': 0.718775074571072, 'eta': 0.0028762652650892243, 'max_depth': 6, 'colsample_bytree': 0.9599734006279637, 'gamma': 0.04219917806707449, 'min_child_weight': 9.005842837515637, 'subsample': 0.019955404286869448}"
0.5394218571428572,0.03318362794384143,"{'reg_lambda': 0.7511918072538714, 'eta': 0.0030690179141302705, 'max_depth': 6, 'colsample_bytree': 0.9617460076292792, 'gamma': 0.04864230400442576, 'min_child_weight': 13.340469866763772, 'subsample': 0.019240319982054135}"
0.5394227142857143,0.03157927650850645,"{'reg_lambda': 0.7273640114264616, 'eta': 0.0025562290554219883, 'max_depth': 5, 'colsample_bytree': 0.9403046272622309, 'gamma': 0.16252459718315465, 'min_child_weight': 14.70975446569234, 'subsample': 0.01959860981904989}"
0.5394387142857143,0.0318881488849422,"{'reg_lambda': 0.7107024774444937, 'eta': 0.0036124227283176693, 'max_depth': 6, 'colsample_bytree': 0.95069289414478, 'gamma': 0.2964412496081532, 'min_child_weight': 17.196117583503145, 'subsample': 0.019170536271589836}"
0.5394424285714285,0.03204508031088839,"{'reg_lambda': 0.7047580460629145, 'eta': 0.004771270558378399, 'max_depth': 6, 'colsample_bytree': 0.9476371164220486, 'gamma': 0.14545326675869788, 'min_child_weight': 13.384135234595053, 'subsample': 0.019963196698457565}"
0.5394434285714286,0.03069059310091216,"{'reg_lambda': 0.711743211596118, 'eta': 0.003965437673630027, 'max_depth': 6, 'colsample_bytree': 0.9575172142997673, 'gamma': 0.019728620261422726, 'min_child_weight': 14.370403377104543, 'subsample': 0.0195999281477445}"
0.5394435714285716,0.03208550449417308,"{'reg_lambda': 0.7253984309410492, 'eta': 0.0017712128929180128, 'max_depth': 6, 'colsample_bytree': 0.9672918181730286, 'gamma': 0.035502892458304944, 'min_child_weight': 11.480615030365684, 'subsample': 0.01897206479377}"
0.5394444285714286,0.032961841810384376,"{'reg_lambda': 0.7736555911734246, 'eta': 0.0017128321118320326, 'max_depth': 6, 'colsample_bytree': 0.9491034295617174, 'gamma': 0.1405518198094518, 'min_child_weight': 10.680467313481433, 'subsample': 0.01800654220789429}"
0.5394515714285715,0.031925641017396394,"{'reg_lambda': 0.7270100988359656, 'eta': 0.004842923446149492, 'max_depth': 6, 'colsample_bytree': 0.9639016715974545, 'gamma': 0.001437471637970946, 'min_child_weight': 14.65566423035311, 'subsample': 0.0188278013627587}"
0.5394518571428571,0.03023047278716337,"{'reg_lambda': 0.7355121951773639, 'eta': 0.004084501945286296, 'max_depth': 6, 'colsample_bytree': 0.9592627121752827, 'gamma': 0.02122491253869104, 'min_child_weight': 14.866601507078792, 'subsample': 0.018677210809113616}"
0.539455,0.033076433193757894,"{'reg_lambda': 0.7353890378468444, 'eta': 0.0010253218587445007, 'max_depth': 6, 'colsample_bytree': 0.9517151592207244, 'gamma': 0.048202695104073476, 'min_child_weight': 13.331609668837746, 'subsample': 0.01563750780039516}"
0.5394554285714286,0.034225142567504786,"{'reg_lambda': 0.7057015122713894, 'eta': 0.0009173393326399385, 'max_depth': 6, 'colsample_bytree': 0.9724716519592086, 'gamma': 0.006049889007464862, 'min_child_weight': 15.597077460581863, 'subsample': 0.01928903771646992}"
0.539459,0.03379992129653535,"{'reg_lambda': 0.7233077826076819, 'eta': 0.0013409728932647718, 'max_depth': 6, 'colsample_bytree': 0.9674216210338532, 'gamma': 0.07795324861324178, 'min_child_weight': 10.081474936290432, 'subsample': 0.019146916992489917}"
0.53946,0.03230836902094239,"{'reg_lambda': 0.7003032482736062, 'eta': 0.004675673875342682, 'max_depth': 6, 'colsample_bytree': 0.9654920215574945, 'gamma': 0.13740748445377826, 'min_child_weight': 14.52580504273469, 'subsample': 0.01963921004220285}"
