log_loss,auc,mstd,rounds,params
0.5381667142857143,0.8039007142857143,0.03020790163489468,989,"{'colsample_bytree': 0.91, 'eta': 0.006200000000000001, 'gamma': 0.232, 'max_depth': 5, 'min_child_weight': 7.0, 'reg_lambda': 0.77, 'subsample': 0.67}"
0.5381678571428571,0.8038964285714286,0.031699848733681694,650,"{'colsample_bytree': 0.71, 'eta': 0.0082, 'gamma': 0.138, 'max_depth': 6, 'min_child_weight': 65.0, 'reg_lambda': 0.87, 'subsample': 0.77}"
0.5381874285714285,0.8038801428571427,0.03272647385741194,637,"{'colsample_bytree': 0.86, 'eta': 0.0076, 'gamma': 0.064, 'max_depth': 6, 'min_child_weight': 73.0, 'reg_lambda': 0.9, 'subsample': 0.5700000000000001}"
0.5381892857142857,0.8039517142857143,0.03295383753466933,2238,"{'colsample_bytree': 0.68, 'eta': 0.0022, 'gamma': 0.079, 'max_depth': 5, 'min_child_weight': 94.0, 'reg_lambda': 0.75, 'subsample': 0.5700000000000001}"
0.5382017142857142,0.8038894285714286,0.031925998608393166,2540,"{'colsample_bytree': 0.85, 'eta': 0.0021000000000000003, 'gamma': 0.048, 'max_depth': 5, 'min_child_weight': 13.0, 'reg_lambda': 0.71, 'subsample': 0.5}"
0.5382142857142858,0.8039074285714285,0.03316709955829538,778,"{'colsample_bytree': 0.84, 'eta': 0.006, 'gamma': 0.225, 'max_depth': 6, 'min_child_weight': 36.0, 'reg_lambda': 0.79, 'subsample': 0.61}"
0.5382591428571428,0.8038220000000001,0.03275479721942753,612,"{'colsample_bytree': 0.64, 'eta': 0.008, 'gamma': 0.215, 'max_depth': 6, 'min_child_weight': 46.0, 'reg_lambda': 0.8200000000000001, 'subsample': 0.72}"
0.538322,0.8037874285714287,0.03275548181217795,505,"{'colsample_bytree': 0.78, 'eta': 0.0095, 'gamma': 0.047, 'max_depth': 6, 'min_child_weight': 7.0, 'reg_lambda': 0.64, 'subsample': 0.62}"
0.5383421428571429,0.8037854285714285,0.03246855420783022,901,"{'colsample_bytree': 0.89, 'eta': 0.0055000000000000005, 'gamma': 0.083, 'max_depth': 6, 'min_child_weight': 4.0, 'reg_lambda': 0.91, 'subsample': 0.76}"
0.5383734285714287,0.8037785714285715,0.028843204706387883,1766,"{'colsample_bytree': 0.99, 'eta': 0.004, 'gamma': 0.23, 'max_depth': 4, 'min_child_weight': 25.0, 'reg_lambda': 0.65, 'subsample': 0.71}"
0.5383928571428572,0.8037157142857143,0.028924387604526047,1093,"{'colsample_bytree': 0.81, 'eta': 0.0064, 'gamma': 0.165, 'max_depth': 4, 'min_child_weight': 5.0, 'reg_lambda': 0.85, 'subsample': 0.63}"
0.5384312857142857,0.8037425714285714,0.030835585390923077,1180,"{'colsample_bytree': 0.81, 'eta': 0.005, 'gamma': 0.127, 'max_depth': 4, 'min_child_weight': 47.0, 'reg_lambda': 0.84, 'subsample': 0.68}"
0.5384394285714286,0.8037048571428572,0.028166505486817445,2146,"{'colsample_bytree': 1.0, 'eta': 0.0035, 'gamma': 0.093, 'max_depth': 4, 'min_child_weight': 6.0, 'reg_lambda': 0.9, 'subsample': 0.81}"
0.5386072857142857,0.8036375714285714,0.032037230973599735,714,"{'colsample_bytree': 0.91, 'eta': 0.0073, 'gamma': 0.10300000000000001, 'max_depth': 4, 'min_child_weight': 77.0, 'reg_lambda': 0.75, 'subsample': 0.79}"
0.5387015714285714,0.8035558571428572,0.03198147225092391,937,"{'colsample_bytree': 0.98, 'eta': 0.0056, 'gamma': 0.113, 'max_depth': 4, 'min_child_weight': 52.0, 'reg_lambda': 0.71, 'subsample': 0.9}"
0.5387109999999999,0.803559,0.032977977891988086,1729,"{'colsample_bytree': 0.88, 'eta': 0.0028, 'gamma': 0.083, 'max_depth': 4, 'min_child_weight': 56.0, 'reg_lambda': 0.74, 'subsample': 0.5}"
0.5387985714285715,0.8035110000000001,0.03304078243618434,848,"{'colsample_bytree': 0.93, 'eta': 0.0056, 'gamma': 0.051000000000000004, 'max_depth': 4, 'min_child_weight': 86.0, 'reg_lambda': 0.71, 'subsample': 0.86}"
0.5422748571428572,0.8021225714285715,0.03779282145788515,3333,"{'colsample_bytree': 0.92, 'eta': 0.0008, 'gamma': 0.157, 'max_depth': 4, 'min_child_weight': 19.0, 'reg_lambda': 0.85, 'subsample': 0.85}"
0.6271641428571428,0.8006382857142856,0.01896427386669945,3333,"{'colsample_bytree': 0.6, 'eta': 0.0001, 'gamma': 0.189, 'max_depth': 5, 'min_child_weight': 89.0, 'reg_lambda': 0.81, 'subsample': 0.8200000000000001}"
