log_loss,mstd,rounds,params
0.5382718571428572,0.03073250026420362,2981,"{'eta': 0.002, 'colsample_bytree': 0.842, 'reg_lambda': 0.734, 'min_child_weight': 23.400000000000002, 'max_depth': 5, 'subsample': 0.556, 'gamma': 0.111}"
0.5382732857142857,0.030893450664260757,759,"{'eta': 0.0076, 'colsample_bytree': 0.892, 'reg_lambda': 0.737, 'min_child_weight': 30.200000000000003, 'max_depth': 5, 'subsample': 0.627, 'gamma': 0.06}"
0.5382738571428571,0.03083090078332757,2577,"{'eta': 0.0023, 'colsample_bytree': 0.781, 'reg_lambda': 0.716, 'min_child_weight': 18.0, 'max_depth': 5, 'subsample': 0.636, 'gamma': 0.1}"
0.5382747142857143,0.03130123996593152,1336,"{'eta': 0.004200000000000001, 'colsample_bytree': 0.875, 'reg_lambda': 0.756, 'min_child_weight': 26.0, 'max_depth': 5, 'subsample': 0.681, 'gamma': 0.016}"
0.5382757142857143,0.03100566276529147,2407,"{'eta': 0.0024000000000000002, 'colsample_bytree': 0.917, 'reg_lambda': 0.718, 'min_child_weight': 27.5, 'max_depth': 5, 'subsample': 0.5730000000000001, 'gamma': 0.042}"
0.5382792857142857,0.030722057290635624,2214,"{'eta': 0.0027, 'colsample_bytree': 0.8140000000000001, 'reg_lambda': 0.763, 'min_child_weight': 26.700000000000003, 'max_depth': 5, 'subsample': 0.652, 'gamma': 0.075}"
0.538281,0.03107485019169078,1996,"{'eta': 0.0029000000000000002, 'colsample_bytree': 0.806, 'reg_lambda': 0.764, 'min_child_weight': 23.0, 'max_depth': 5, 'subsample': 0.6900000000000001, 'gamma': 0.035}"
0.538281,0.030013018912146642,446,"{'eta': 0.0137, 'colsample_bytree': 0.9450000000000001, 'reg_lambda': 0.74, 'min_child_weight': 31.1, 'max_depth': 5, 'subsample': 0.667, 'gamma': 0.016}"
0.5382815714285715,0.030226909614535974,3440,"{'eta': 0.0018000000000000002, 'colsample_bytree': 0.9550000000000001, 'reg_lambda': 0.744, 'min_child_weight': 26.5, 'max_depth': 5, 'subsample': 0.634, 'gamma': 0.089}"
0.538285,0.030088550591913565,501,"{'eta': 0.0122, 'colsample_bytree': 0.906, 'reg_lambda': 0.728, 'min_child_weight': 28.6, 'max_depth': 5, 'subsample': 0.674, 'gamma': 0.01}"
0.5382872857142857,0.03072688922384067,501,"{'eta': 0.0115, 'colsample_bytree': 0.9480000000000001, 'reg_lambda': 0.762, 'min_child_weight': 26.900000000000002, 'max_depth': 5, 'subsample': 0.6940000000000001, 'gamma': 0.018000000000000002}"
0.5382888571428571,0.03083630382110477,1633,"{'eta': 0.0036000000000000003, 'colsample_bytree': 0.8320000000000001, 'reg_lambda': 0.797, 'min_child_weight': 26.5, 'max_depth': 5, 'subsample': 0.583, 'gamma': 0.065}"
0.5382898571428572,0.030199073533491078,539,"{'eta': 0.0112, 'colsample_bytree': 0.982, 'reg_lambda': 0.712, 'min_child_weight': 29.400000000000002, 'max_depth': 5, 'subsample': 0.617, 'gamma': 0.055}"
0.5382957142857143,0.031693660456352156,1423,"{'eta': 0.0038, 'colsample_bytree': 0.922, 'reg_lambda': 0.787, 'min_child_weight': 27.400000000000002, 'max_depth': 5, 'subsample': 0.662, 'gamma': 0.147}"
0.5382965714285713,0.030880977128444096,2800,"{'eta': 0.0021000000000000003, 'colsample_bytree': 0.854, 'reg_lambda': 0.774, 'min_child_weight': 25.200000000000003, 'max_depth': 5, 'subsample': 0.507, 'gamma': 0.051000000000000004}"
0.5382997142857142,0.030126659196944,337,"{'eta': 0.0179, 'colsample_bytree': 0.849, 'reg_lambda': 0.8250000000000001, 'min_child_weight': 30.0, 'max_depth': 5, 'subsample': 0.676, 'gamma': 0.083}"
0.5383042857142858,0.03105071495819522,1095,"{'eta': 0.005200000000000001, 'colsample_bytree': 0.979, 'reg_lambda': 0.786, 'min_child_weight': 24.6, 'max_depth': 5, 'subsample': 0.635, 'gamma': 0.111}"
0.5383044285714286,0.030884711902512144,918,"{'eta': 0.0063, 'colsample_bytree': 0.869, 'reg_lambda': 0.708, 'min_child_weight': 24.3, 'max_depth': 5, 'subsample': 0.687, 'gamma': 0.012}"
0.5383049999999999,0.030349105650414657,1307,"{'eta': 0.0047, 'colsample_bytree': 0.78, 'reg_lambda': 0.7000000000000001, 'min_child_weight': 23.6, 'max_depth': 5, 'subsample': 0.6890000000000001, 'gamma': 0.001}"
0.5383077142857143,0.030045353389957084,948,"{'eta': 0.0066, 'colsample_bytree': 0.847, 'reg_lambda': 0.751, 'min_child_weight': 27.200000000000003, 'max_depth': 5, 'subsample': 0.594, 'gamma': 0.114}"
0.5383105714285713,0.030674655790498825,2384,"{'eta': 0.0025, 'colsample_bytree': 0.907, 'reg_lambda': 0.846, 'min_child_weight': 23.700000000000003, 'max_depth': 5, 'subsample': 0.525, 'gamma': 0.105}"
0.5383124285714286,0.030624620591061805,472,"{'eta': 0.0123, 'colsample_bytree': 0.933, 'reg_lambda': 0.737, 'min_child_weight': 29.6, 'max_depth': 5, 'subsample': 0.549, 'gamma': 0.05}"
0.5383125714285714,0.031069470593117196,774,"{'eta': 0.0073, 'colsample_bytree': 0.966, 'reg_lambda': 0.81, 'min_child_weight': 30.200000000000003, 'max_depth': 5, 'subsample': 0.648, 'gamma': 0.009000000000000001}"
0.5383132857142857,0.030721270516039817,3295,"{'eta': 0.0018000000000000002, 'colsample_bytree': 0.9420000000000001, 'reg_lambda': 0.778, 'min_child_weight': 28.3, 'max_depth': 5, 'subsample': 0.495, 'gamma': 0.024}"
0.538315,0.031458509876539455,593,"{'eta': 0.0092, 'colsample_bytree': 0.894, 'reg_lambda': 0.872, 'min_child_weight': 25.5, 'max_depth': 5, 'subsample': 0.524, 'gamma': 0.009000000000000001}"
0.5383158571428571,0.030928523265896218,772,"{'eta': 0.007500000000000001, 'colsample_bytree': 0.806, 'reg_lambda': 0.842, 'min_child_weight': 19.6, 'max_depth': 5, 'subsample': 0.6990000000000001, 'gamma': 0.043000000000000003}"
0.5383178571428571,0.031091297283957504,1679,"{'eta': 0.0034000000000000002, 'colsample_bytree': 0.9520000000000001, 'reg_lambda': 0.747, 'min_child_weight': 22.8, 'max_depth': 5, 'subsample': 0.684, 'gamma': 0.038}"
0.5383192857142857,0.030054324328511593,1300,"{'eta': 0.0048000000000000004, 'colsample_bytree': 0.912, 'reg_lambda': 0.743, 'min_child_weight': 30.6, 'max_depth': 5, 'subsample': 0.531, 'gamma': 0.079}"
0.5383218571428572,0.030616010804131098,397,"{'eta': 0.014700000000000001, 'colsample_bytree': 0.783, 'reg_lambda': 0.711, 'min_child_weight': 21.5, 'max_depth': 5, 'subsample': 0.681, 'gamma': 0.121}"
0.5383224285714286,0.031602645219659595,316,"{'eta': 0.0166, 'colsample_bytree': 0.922, 'reg_lambda': 0.789, 'min_child_weight': 24.0, 'max_depth': 5, 'subsample': 0.48, 'gamma': 0.006}"
0.5383282857142857,0.031011655755710403,1472,"{'eta': 0.0039000000000000003, 'colsample_bytree': 0.916, 'reg_lambda': 0.706, 'min_child_weight': 21.8, 'max_depth': 5, 'subsample': 0.628, 'gamma': 0.014}"
0.5383320000000001,0.030892366753277948,672,"{'eta': 0.0085, 'colsample_bytree': 0.974, 'reg_lambda': 0.728, 'min_child_weight': 27.900000000000002, 'max_depth': 5, 'subsample': 0.579, 'gamma': 0.028}"
0.5383331428571428,0.031018458597997234,475,"{'eta': 0.0118, 'colsample_bytree': 0.933, 'reg_lambda': 0.861, 'min_child_weight': 24.6, 'max_depth': 5, 'subsample': 0.581, 'gamma': 0.09}"
0.5383335714285715,0.03106999531941936,1687,"{'eta': 0.0034000000000000002, 'colsample_bytree': 0.866, 'reg_lambda': 0.8140000000000001, 'min_child_weight': 23.400000000000002, 'max_depth': 5, 'subsample': 0.492, 'gamma': 0.073}"
0.5383341428571429,0.0315911349968683,611,"{'eta': 0.0088, 'colsample_bytree': 0.926, 'reg_lambda': 0.766, 'min_child_weight': 30.8, 'max_depth': 5, 'subsample': 0.464, 'gamma': 0.094}"
0.5383352857142858,0.030476922351176976,502,"{'eta': 0.0117, 'colsample_bytree': 0.98, 'reg_lambda': 0.748, 'min_child_weight': 26.900000000000002, 'max_depth': 5, 'subsample': 0.6920000000000001, 'gamma': 0.032}"
0.5383424285714284,0.02994034763360417,388,"{'eta': 0.0158, 'colsample_bytree': 0.894, 'reg_lambda': 0.8150000000000001, 'min_child_weight': 25.700000000000003, 'max_depth': 5, 'subsample': 0.598, 'gamma': 0.002}"
0.5383448571428571,0.029723156082012384,482,"{'eta': 0.013000000000000001, 'colsample_bytree': 0.97, 'reg_lambda': 0.8210000000000001, 'min_child_weight': 18.7, 'max_depth': 5, 'subsample': 0.65, 'gamma': 0.053}"
0.5383452857142857,0.030187838743555354,865,"{'eta': 0.0071, 'colsample_bytree': 0.877, 'reg_lambda': 0.771, 'min_child_weight': 20.3, 'max_depth': 5, 'subsample': 0.5690000000000001, 'gamma': 0.11800000000000001}"
0.5383507142857142,0.03061479362384113,827,"{'eta': 0.007200000000000001, 'colsample_bytree': 0.808, 'reg_lambda': 0.8200000000000001, 'min_child_weight': 18.2, 'max_depth': 5, 'subsample': 0.609, 'gamma': 0.024}"
0.5383527142857143,0.033094980043564745,4800,"{'eta': 0.001, 'colsample_bytree': 0.9490000000000001, 'reg_lambda': 0.781, 'min_child_weight': 29.3, 'max_depth': 5, 'subsample': 0.664, 'gamma': 0.039}"
0.5383541428571429,0.030163032790881943,309,"{'eta': 0.0194, 'colsample_bytree': 0.799, 'reg_lambda': 0.809, 'min_child_weight': 19.200000000000003, 'max_depth': 5, 'subsample': 0.545, 'gamma': 0.148}"
0.5383567142857143,0.03307342601692362,4800,"{'eta': 0.001, 'colsample_bytree': 0.961, 'reg_lambda': 0.714, 'min_child_weight': 24.8, 'max_depth': 5, 'subsample': 0.671, 'gamma': 0.041}"
0.5383601428571428,0.030233685137524016,552,"{'eta': 0.0109, 'colsample_bytree': 0.976, 'reg_lambda': 0.747, 'min_child_weight': 23.400000000000002, 'max_depth': 5, 'subsample': 0.651, 'gamma': 0.045}"
0.5383631428571428,0.030684474299525272,455,"{'eta': 0.012700000000000001, 'colsample_bytree': 0.867, 'reg_lambda': 0.77, 'min_child_weight': 28.700000000000003, 'max_depth': 5, 'subsample': 0.596, 'gamma': 0.004}"
0.5383632857142857,0.030762048155164645,1006,"{'eta': 0.0058000000000000005, 'colsample_bytree': 0.91, 'reg_lambda': 0.731, 'min_child_weight': 27.5, 'max_depth': 5, 'subsample': 0.442, 'gamma': 0.024}"
0.5383644285714285,0.03058020039784589,339,"{'eta': 0.0171, 'colsample_bytree': 0.853, 'reg_lambda': 0.721, 'min_child_weight': 29.8, 'max_depth': 5, 'subsample': 0.59, 'gamma': 0.034}"
0.5383662857142857,0.030279325123160613,757,"{'eta': 0.008, 'colsample_bytree': 0.933, 'reg_lambda': 0.792, 'min_child_weight': 28.3, 'max_depth': 5, 'subsample': 0.561, 'gamma': 0.08700000000000001}"
0.53837,0.029116800294036616,470,"{'eta': 0.014100000000000001, 'colsample_bytree': 0.88, 'reg_lambda': 0.766, 'min_child_weight': 24.8, 'max_depth': 5, 'subsample': 0.512, 'gamma': 0.046}"
0.5383795714285714,0.030260134494374636,490,"{'eta': 0.0122, 'colsample_bytree': 0.966, 'reg_lambda': 0.715, 'min_child_weight': 32.0, 'max_depth': 5, 'subsample': 0.631, 'gamma': 0.018000000000000002}"
0.5383902857142857,0.03016276424307413,391,"{'eta': 0.015300000000000001, 'colsample_bytree': 0.99, 'reg_lambda': 0.725, 'min_child_weight': 29.0, 'max_depth': 5, 'subsample': 0.665, 'gamma': 0.038}"
0.5383917142857142,0.03136792279311291,804,"{'eta': 0.006900000000000001, 'colsample_bytree': 0.842, 'reg_lambda': 0.772, 'min_child_weight': 16.1, 'max_depth': 5, 'subsample': 0.49, 'gamma': 0.085}"
0.5383965714285714,0.030227967114393635,547,"{'eta': 0.011000000000000001, 'colsample_bytree': 0.9580000000000001, 'reg_lambda': 0.759, 'min_child_weight': 29.3, 'max_depth': 5, 'subsample': 0.466, 'gamma': 0.011}"
0.5383967142857143,0.03014801120113566,543,"{'eta': 0.011300000000000001, 'colsample_bytree': 0.805, 'reg_lambda': 0.852, 'min_child_weight': 23.1, 'max_depth': 5, 'subsample': 0.542, 'gamma': 0.035}"
0.5384328571428572,0.0296488719497093,341,"{'eta': 0.0184, 'colsample_bytree': 0.84, 'reg_lambda': 0.764, 'min_child_weight': 21.1, 'max_depth': 5, 'subsample': 0.602, 'gamma': 0.115}"
0.5384547142857143,0.0287737660348305,929,"{'eta': 0.0076, 'colsample_bytree': 0.9450000000000001, 'reg_lambda': 0.74, 'min_child_weight': 29.700000000000003, 'max_depth': 4, 'subsample': 0.607, 'gamma': 0.053}"
0.5384634285714286,0.028453921849808068,1672,"{'eta': 0.0044, 'colsample_bytree': 0.881, 'reg_lambda': 0.895, 'min_child_weight': 29.700000000000003, 'max_depth': 4, 'subsample': 0.6970000000000001, 'gamma': 0.131}"
0.5384761428571428,0.03291368009519524,563,"{'eta': 0.008400000000000001, 'colsample_bytree': 0.882, 'reg_lambda': 0.769, 'min_child_weight': 26.400000000000002, 'max_depth': 6, 'subsample': 0.588, 'gamma': 0.002}"
0.538486857142857,0.02877550417611739,539,"{'eta': 0.0129, 'colsample_bytree': 0.911, 'reg_lambda': 0.744, 'min_child_weight': 27.6, 'max_depth': 4, 'subsample': 0.611, 'gamma': 0.15}"
0.5384987142857144,0.032704226623294655,1187,"{'eta': 0.0041, 'colsample_bytree': 0.9380000000000001, 'reg_lambda': 0.785, 'min_child_weight': 31.3, 'max_depth': 6, 'subsample': 0.56, 'gamma': 0.034}"
0.538499,0.028260511437341224,933,"{'eta': 0.0079, 'colsample_bytree': 0.96, 'reg_lambda': 0.752, 'min_child_weight': 28.700000000000003, 'max_depth': 4, 'subsample': 0.613, 'gamma': 0.037}"
0.5385000000000001,0.029301101211193694,447,"{'eta': 0.0148, 'colsample_bytree': 0.887, 'reg_lambda': 0.736, 'min_child_weight': 25.400000000000002, 'max_depth': 4, 'subsample': 0.631, 'gamma': 0.004}"
0.5385021428571429,0.0330008427833657,279,"{'eta': 0.0165, 'colsample_bytree': 0.8260000000000001, 'reg_lambda': 0.729, 'min_child_weight': 20.5, 'max_depth': 6, 'subsample': 0.614, 'gamma': 0.016}"
0.5385045714285714,0.031887711045908144,486,"{'eta': 0.0106, 'colsample_bytree': 0.906, 'reg_lambda': 0.726, 'min_child_weight': 31.700000000000003, 'max_depth': 6, 'subsample': 0.668, 'gamma': 0.073}"
0.5385150000000001,0.03431269063261471,4800,"{'eta': 0.0009000000000000001, 'colsample_bytree': 0.796, 'reg_lambda': 0.803, 'min_child_weight': 22.1, 'max_depth': 5, 'subsample': 0.627, 'gamma': 0.021}"
0.5385152857142858,0.03281729832815866,1267,"{'eta': 0.0038, 'colsample_bytree': 0.984, 'reg_lambda': 0.731, 'min_child_weight': 27.200000000000003, 'max_depth': 6, 'subsample': 0.519, 'gamma': 0.028}"
0.5385161428571429,0.032699777333470605,1091,"{'eta': 0.0045000000000000005, 'colsample_bytree': 0.8160000000000001, 'reg_lambda': 0.8130000000000001, 'min_child_weight': 20.700000000000003, 'max_depth': 6, 'subsample': 0.645, 'gamma': 0.0}"
0.5385194285714285,0.028513674846314813,702,"{'eta': 0.0102, 'colsample_bytree': 0.997, 'reg_lambda': 0.728, 'min_child_weight': 20.200000000000003, 'max_depth': 4, 'subsample': 0.617, 'gamma': 0.1}"
0.5385214285714285,0.03294856899308714,1495,"{'eta': 0.0032, 'colsample_bytree': 0.903, 'reg_lambda': 0.738, 'min_child_weight': 30.900000000000002, 'max_depth': 6, 'subsample': 0.485, 'gamma': 0.126}"
0.5385317142857143,0.032722560146183195,494,"{'eta': 0.0097, 'colsample_bytree': 0.897, 'reg_lambda': 0.779, 'min_child_weight': 25.6, 'max_depth': 6, 'subsample': 0.505, 'gamma': 0.081}"
0.5385384285714286,0.029290370143846563,664,"{'eta': 0.010100000000000001, 'colsample_bytree': 0.888, 'reg_lambda': 0.7010000000000001, 'min_child_weight': 26.200000000000003, 'max_depth': 4, 'subsample': 0.605, 'gamma': 0.024}"
0.5385467142857142,0.031891771028451074,262,"{'eta': 0.0195, 'colsample_bytree': 0.799, 'reg_lambda': 0.8260000000000001, 'min_child_weight': 27.8, 'max_depth': 5, 'subsample': 0.457, 'gamma': 0.147}"
0.53855,0.03277966629712987,1104,"{'eta': 0.0044, 'colsample_bytree': 0.841, 'reg_lambda': 0.805, 'min_child_weight': 25.8, 'max_depth': 6, 'subsample': 0.5700000000000001, 'gamma': 0.062}"
0.5385505714285714,0.03237049299804612,1474,"{'eta': 0.0034000000000000002, 'colsample_bytree': 0.972, 'reg_lambda': 0.8, 'min_child_weight': 31.0, 'max_depth': 6, 'subsample': 0.636, 'gamma': 0.031}"
0.5385515714285714,0.03301897514094852,493,"{'eta': 0.0095, 'colsample_bytree': 0.8290000000000001, 'reg_lambda': 0.704, 'min_child_weight': 19.1, 'max_depth': 6, 'subsample': 0.658, 'gamma': 0.03}"
0.5385527142857143,0.03252787636038233,787,"{'eta': 0.0063, 'colsample_bytree': 0.808, 'reg_lambda': 0.871, 'min_child_weight': 16.900000000000002, 'max_depth': 6, 'subsample': 0.655, 'gamma': 0.134}"
0.5385552857142857,0.03234943058083141,483,"{'eta': 0.0102, 'colsample_bytree': 0.9380000000000001, 'reg_lambda': 0.734, 'min_child_weight': 31.1, 'max_depth': 6, 'subsample': 0.41300000000000003, 'gamma': 0.026000000000000002}"
0.5385614285714285,0.027989634213550097,488,"{'eta': 0.0152, 'colsample_bytree': 0.924, 'reg_lambda': 0.885, 'min_child_weight': 29.1, 'max_depth': 4, 'subsample': 0.602, 'gamma': 0.108}"
0.5385637142857143,0.032600812617726474,493,"{'eta': 0.0098, 'colsample_bytree': 0.898, 'reg_lambda': 0.774, 'min_child_weight': 30.200000000000003, 'max_depth': 6, 'subsample': 0.554, 'gamma': 0.018000000000000002}"
0.5385639999999999,0.02928571815273972,416,"{'eta': 0.016, 'colsample_bytree': 0.791, 'reg_lambda': 0.838, 'min_child_weight': 17.2, 'max_depth': 4, 'subsample': 0.593, 'gamma': 0.046}"
0.5385641428571428,0.030121147514792765,1244,"{'eta': 0.0051, 'colsample_bytree': 0.8170000000000001, 'reg_lambda': 0.756, 'min_child_weight': 31.6, 'max_depth': 4, 'subsample': 0.679, 'gamma': 0.098}"
0.538568,0.03260703957434198,818,"{'eta': 0.006, 'colsample_bytree': 0.86, 'reg_lambda': 0.753, 'min_child_weight': 25.1, 'max_depth': 6, 'subsample': 0.602, 'gamma': 0.08}"
0.5385721428571429,0.03258221582924452,827,"{'eta': 0.0059, 'colsample_bytree': 0.966, 'reg_lambda': 0.724, 'min_child_weight': 28.900000000000002, 'max_depth': 6, 'subsample': 0.656, 'gamma': 0.045}"
0.5385748571428571,0.03283892422485347,733,"{'eta': 0.006500000000000001, 'colsample_bytree': 0.93, 'reg_lambda': 0.722, 'min_child_weight': 29.400000000000002, 'max_depth': 6, 'subsample': 0.68, 'gamma': 0.066}"
0.538586,0.028964622155077373,517,"{'eta': 0.0132, 'colsample_bytree': 0.927, 'reg_lambda': 0.749, 'min_child_weight': 29.0, 'max_depth': 4, 'subsample': 0.587, 'gamma': 0.062}"
0.5385918571428572,0.030584110264977298,884,"{'eta': 0.0068000000000000005, 'colsample_bytree': 0.898, 'reg_lambda': 0.772, 'min_child_weight': 30.700000000000003, 'max_depth': 4, 'subsample': 0.638, 'gamma': 0.021}"
0.5385965714285714,0.031944144844994325,485,"{'eta': 0.0105, 'colsample_bytree': 0.999, 'reg_lambda': 0.755, 'min_child_weight': 28.1, 'max_depth': 6, 'subsample': 0.617, 'gamma': 0.021}"
0.5385974285714286,0.029569868415344064,605,"{'eta': 0.010700000000000001, 'colsample_bytree': 0.99, 'reg_lambda': 0.733, 'min_child_weight': 27.1, 'max_depth': 4, 'subsample': 0.619, 'gamma': 0.128}"
0.5386038571428572,0.030261571809579953,880,"{'eta': 0.007, 'colsample_bytree': 0.929, 'reg_lambda': 0.718, 'min_child_weight': 27.8, 'max_depth': 4, 'subsample': 0.642, 'gamma': 0.008}"
0.538623142857143,0.03345037059185702,375,"{'eta': 0.0118, 'colsample_bytree': 0.9380000000000001, 'reg_lambda': 0.801, 'min_child_weight': 28.6, 'max_depth': 6, 'subsample': 0.601, 'gamma': 0.128}"
0.5386352857142856,0.029401203876617134,813,"{'eta': 0.0082, 'colsample_bytree': 0.864, 'reg_lambda': 0.835, 'min_child_weight': 22.400000000000002, 'max_depth': 4, 'subsample': 0.524, 'gamma': 0.034}"
0.5386478571428571,0.03315433754547374,261,"{'eta': 0.0172, 'colsample_bytree': 0.885, 'reg_lambda': 0.8280000000000001, 'min_child_weight': 28.3, 'max_depth': 6, 'subsample': 0.428, 'gamma': 0.054}"
