log_loss,mstd,params
0.6342662857142857,0.0169383584697046,"{'subsample': 0.6075428209478917, 'reg_lambda': 0.8937897277275662, 'gamma': 0.21036707142120992, 'min_child_weight': 4.385374221823767, 'max_depth': 4, 'colsample_bytree': 0.9195938183815425, 'eta': 0.00012372925110362438}"
0.627472,0.018887882748297426,"{'subsample': 0.6833509178882781, 'reg_lambda': 0.7801926852887399, 'gamma': 0.14436999621790225, 'min_child_weight': 5.702922572459276, 'max_depth': 10, 'colsample_bytree': 0.8382753576230704, 'eta': 0.00013403039005053293}"
0.6237538571428571,0.01994252896779945,"{'subsample': 0.6544112366516791, 'reg_lambda': 0.9256171132682606, 'gamma': 0.3213901800254467, 'min_child_weight': 8.955777942947417, 'max_depth': 6, 'colsample_bytree': 0.8565015439904368, 'eta': 0.00014859772574395223}"
0.6118178571428572,0.023298099124583933,"{'subsample': 0.8227793287093521, 'reg_lambda': 0.9403620735795613, 'gamma': 0.1897460087331504, 'min_child_weight': 4.753018406444631, 'max_depth': 5, 'colsample_bytree': 0.9991012884908909, 'eta': 0.0001868634662444829}"
0.609473,0.023957619738388405,"{'subsample': 0.5328443070983216, 'reg_lambda': 0.8505104857872317, 'gamma': 0.16950969269552418, 'min_child_weight': 2.2563253086488855, 'max_depth': 5, 'colsample_bytree': 0.9452951974226995, 'eta': 0.00019517879936521015}"
0.6092441428571427,0.024052469128683564,"{'subsample': 0.8463464776502928, 'reg_lambda': 0.6985082469975383, 'gamma': 0.4502050091444608, 'min_child_weight': 4.69953602661635, 'max_depth': 10, 'colsample_bytree': 0.7707621081471754, 'eta': 0.0001941128013395678}"
0.6060172857142858,0.02493656226932599,"{'subsample': 0.5676775901824289, 'reg_lambda': 0.7364520274232679, 'gamma': 0.0018047592536555024, 'min_child_weight': 7.009425727230361, 'max_depth': 6, 'colsample_bytree': 0.8935089244188511, 'eta': 0.00020521413970010956}"
0.5610484285714286,0.036719651652855644,"{'subsample': 0.6368584583622537, 'reg_lambda': 0.9796870719912856, 'gamma': 0.3419966597518306, 'min_child_weight': 8.69815776398658, 'max_depth': 6, 'colsample_bytree': 0.9705586869768895, 'eta': 0.0004818706666187031}"
0.556895857142857,0.037691500050276466,"{'subsample': 0.5793219326628981, 'reg_lambda': 0.7668245325467418, 'gamma': 0.2173490408399576, 'min_child_weight': 5.22885652662928, 'max_depth': 7, 'colsample_bytree': 0.8787714052016543, 'eta': 0.0005345806474190366}"
0.5514414285714285,0.038426121660126815,"{'subsample': 0.6762822353557169, 'reg_lambda': 0.6444610296943282, 'gamma': 0.039567920538860296, 'min_child_weight': 6.564351184856044, 'max_depth': 6, 'colsample_bytree': 0.4315915462307595, 'eta': 0.0008841062482542105}"
